deadline_norm,duration_norm,profit_norm,penalty_norm,arrival_norm,profit_penalty_ratio,urgency,slack_ratio,density_norm,competition,label
0.833333,0.6,1.0,0.064145,0.111111,1.0,0.142857,0.5,1.0,1.0,1
1.0,0.2,0.62711,1.0,1.0,0.206209,0.333333,0.166667,1.0,0.75,1
0.583333,0.6,0.249844,0.097451,0.111111,0.843038,0.25,0.25,0.416406,0.5,1
1.0,1.0,0.1338,0.151727,0.222222,0.289973,0.166667,0.416667,0.1338,1.0,0
0.833333,0.4,0.211954,0.161184,0.888889,0.432398,1.0,0.0,0.529886,0.75,1
1.0,0.6,0.258161,0.296288,1.0,0.177145,0.333333,0.166667,0.430268,0.857143,1
0.75,0.6,1.0,0.8009,0.285714,0.253848,0.2,0.333333,1.0,1.0,1
0.833333,0.8,0.625871,0.510461,0.571429,0.249273,0.333333,0.166667,0.782339,1.0,0
0.833333,1.0,0.420825,0.507312,0.142857,0.168647,0.2,0.333333,0.420825,1.0,0
0.5,0.6,0.613699,0.460967,0.285714,0.270669,0.5,0.083333,1.0,0.857143,0
0.916667,0.6,0.056103,0.066367,0.714286,0.171864,0.25,0.25,0.093504,1.0,0
0.833333,0.8,0.983512,1.0,0.714286,0.199955,0.5,0.083333,1.0,1.0,1
0.666667,0.6,0.813323,0.878515,0.428571,0.18822,0.333333,0.166667,1.0,1.0,0
0.833333,1.0,0.585116,0.085011,0.0,0.936612,0.166667,0.416667,0.585116,1.0,0
0.666667,0.6,0.119481,0.116135,0.5,0.14,0.5,0.083333,0.199135,0.857143,0
0.75,0.2,0.939008,1.0,0.125,0.127779,0.125,0.583333,1.0,1.0,1
0.583333,1.0,0.770141,0.794673,0.125,0.131878,0.5,0.083333,0.770141,0.857143,1
0.833333,0.4,1.0,0.46965,0.5,0.289746,0.2,0.333333,1.0,1.0,1
1.0,0.4,0.802685,0.627439,1.0,0.174087,0.333333,0.166667,1.0,0.571429,1
0.916667,0.8,0.530496,0.306442,0.625,0.235574,0.333333,0.166667,0.66312,1.0,0
0.583333,0.2,0.126081,0.018117,0.375,0.947009,0.25,0.25,0.630405,0.857143,1
0.833333,1.0,1.0,0.279206,1.0,0.535043,1.0,0.0,1.0,1.0,1
0.666667,1.0,0.958184,1.0,0.333333,0.143141,0.333333,0.166667,0.958184,1.0,1
1.0,0.5,0.269724,0.117343,0.0,0.343382,0.090909,0.833333,0.539448,1.0,1
0.833333,0.25,0.761696,0.374116,0.666667,0.304151,0.166667,0.416667,1.0,1.0,1
0.333333,0.6,0.936387,0.343593,0.0,0.46,0.5,0.083333,1.0,0.285714,1
0.583333,1.0,0.162214,0.105225,0.333333,0.260204,1.0,0.0,0.162214,1.0,0
0.75,0.6,0.440946,0.350931,1.0,0.212086,1.0,0.0,0.73491,0.857143,0
0.75,0.6,0.054707,0.069792,0.0,0.132308,0.142857,0.5,0.091179,1.0,0
1.0,1.0,1.0,1.0,0.833333,0.16879,0.333333,0.166667,1.0,0.857143,1
0.833333,0.4,0.123516,0.116858,0.833333,0.178407,0.25,0.25,0.308789,0.857143,0
0.666667,0.6,0.77799,0.328024,0.833333,0.400327,1.0,0.0,1.0,0.857143,1
0.916667,0.6,0.458333,0.195598,1.0,0.395517,0.333333,0.166667,0.763889,0.857143,0
0.833333,1.0,0.751308,0.711512,0.285714,0.172442,0.25,0.25,0.751308,1.0,0
1.0,1.0,0.563005,0.133372,0.428571,0.689374,0.2,0.333333,0.563005,1.0,0
0.75,0.8,0.908464,1.0,0.428571,0.14836,0.333333,0.166667,1.0,1.0,1
1.0,0.6,0.329648,0.200349,1.0,0.268702,0.333333,0.166667,0.549414,0.714286,1
0.666667,0.6,0.438778,0.514075,0.428571,0.139388,0.333333,0.166667,0.731297,1.0,0
0.416667,0.2,0.320613,0.296641,0.285714,0.176505,0.333333,0.166667,1.0,0.857143,0
0.75,0.4,0.519734,0.377402,0.142857,0.224897,0.142857,0.5,1.0,1.0,1
0.583333,0.8,1.0,0.520676,0.0,0.313647,0.25,0.25,1.0,0.857143,1
0.833333,1.0,0.142457,0.169712,0.555556,0.173088,0.5,0.083333,0.142457,1.0,0
0.583333,0.5,1.0,1.0,0.111111,0.206202,0.2,0.333333,1.0,0.666667,1
0.833333,0.25,0.442761,0.326683,1.0,0.27947,1.0,0.0,1.0,0.833333,1
1.0,0.75,0.775472,0.039904,0.111111,1.0,0.111111,0.666667,1.0,1.0,1
0.916667,1.0,0.175216,0.278606,0.666667,0.129681,0.5,0.083333,0.175216,1.0,0
0.833333,1.0,0.540569,0.660817,0.555556,0.16868,0.5,0.083333,0.540569,1.0,1
0.916667,0.75,0.540685,0.658413,0.777778,0.169332,0.5,0.083333,0.720914,0.833333,0
0.666667,0.5,0.345633,0.444317,0.555556,0.173904,0.5,0.083333,0.691267,0.8,1
0.5,0.5,1.0,1.0,0.444444,0.223556,1.0,0.0,1.0,0.4,1
0.75,0.5,0.901087,0.934922,0.777778,0.215466,1.0,0.0,1.0,0.6,1
0.833333,1.0,0.383046,0.662236,0.333333,0.129308,0.25,0.25,0.383046,1.0,0
0.833333,0.75,0.851784,0.624198,0.777778,0.305066,1.0,0.0,1.0,0.8,0
1.0,0.25,0.71966,0.214711,1.0,0.749306,0.333333,0.166667,1.0,0.4,1
0.909091,0.6,0.168167,0.148097,1.0,0.175653,0.25,0.272727,0.280279,1.0,0
0.909091,0.8,0.563225,0.313835,0.5,0.277613,0.2,0.363636,0.704032,1.0,1
1.0,1.0,0.748099,0.564995,0.0,0.204821,0.142857,0.545455,0.748099,1.0,1
0.454545,0.2,0.964186,1.0,0.25,0.149149,0.25,0.272727,1.0,1.0,1
0.818182,1.0,1.0,0.837047,1.0,0.184803,1.0,0.0,1.0,1.0,0
0.583333,1.0,0.511475,0.820056,0.0,0.189333,0.333333,0.166667,0.511475,0.8,1
